date,gender,age,대출총괄_mo,대출총괄_pc,주택관련대출_mo,주택관련대출_pc,자동차대출_mo,자동차대출_pc,대환대출_mo,대환대출_pc,핀다대출외서비스_mo,핀다대출외서비스_pc
2022-02-08,m,3,31.04395,42.57425,12.08791,26.73267,9.70695,13.86138,1.92307,2.97029,3.75457,21.78217
2022-02-08,f,4,48.86459,33.60995,60.72329,71.78423,12.86795,17.42738,7.65349,3.3195,11.10176,25.3112
2022-02-08,m,4,43.553,34.29394,46.9914,57.92507,9.95702,12.68011,9.52722,6.91642,12.89398,20.46109
2022-02-08,f,5,26.00671,20.34313,69.18344,72.30392,5.42505,7.84313,4.5302,3.92156,11.40939,13.48039
2022-02-08,m,5,21.91091,21.47368,49.74856,56.52631,5.81896,4.73684,5.38793,3.15789,11.42241,18.31578
2022-02-08,f,6,23.43073,18.72791,63.14935,60.07067,4.92424,3.53356,5.03246,3.53356,7.90043,20.14134
2022-02-08,m,6,17.82246,15.50116,52.14979,56.87645,4.09153,3.84615,3.88349,3.2634,9.18862,16.78321
2022-02-08,f,7,25.16519,14.03508,54.35022,47.36842,5.78193,5.70175,3.90969,2.63157,8.42511,8.77192
2022-02-08,m,7,20.10228,19.66101,48.1904,46.27118,4.87804,4.91525,3.54051,3.38983,9.04799,20.67796
2022-02-08,f,8,26.72645,18.54838,50.13452,58.87096,6.81614,3.2258,2.69058,1.6129,6.45739,20.16129
2022-02-08,m,8,21.94928,19.53642,41.12519,51.98675,7.13153,4.30463,2.85261,4.30463,8.63708,18.87417
2022-02-08,f,9,21.48541,21.25,50.92838,60.0,6.10079,11.25,3.05039,2.5,8.09018,21.25
2022-02-08,m,9,25.26636,24.71264,46.42313,56.32183,8.67579,5.17241,2.2831,3.44827,13.242,30.45977
2022-02-08,f,10,24.48275,40.54054,63.44827,45.94594,9.31034,5.4054,9.31034,0.0,10.0,8.1081
2022-02-08,m,10,24.91467,22.07792,29.69283,45.45454,5.80204,10.38961,4.43686,3.8961,17.06484,19.48051
2022-02-08,f,11,15.97633,23.07692,25.44378,43.58974,4.14201,2.5641,2.36686,2.5641,6.50887,15.38461
2022-02-08,m,11,31.8644,18.30985,41.35593,40.84507,9.8305,4.22535,2.37288,7.04225,17.28813,30.98591
2022-02-09,f,2,3.50877,2.27272,1.16959,1.13636,4.23976,3.40909,0.0,0.0,0.43859,0.0
2022-02-09,m,2,10.82474,15.0,5.15463,10.0,7.73195,5.0,0.51546,0.0,2.06185,0.0
2022-02-09,f,3,19.05104,15.4185,9.56146,14.09691,8.77066,7.04845,1.94104,1.32158,1.58159,10.13215
2022-02-09,m,3,32.05128,27.72277,9.98168,25.74257,10.25641,17.82178,1.92307,0.99009,4.94505,33.66336
2022-02-09,f,4,44.40706,34.85477,57.44322,63.90041,13.12026,16.18257,6.47603,4.14937,9.9243,17.84232
2022-02-09,m,4,43.26647,47.26224,44.48424,54.46685,12.10601,12.68011,7.09169,6.34005,12.46418,24.49567
2022-02-09,f,5,30.03355,23.28431,68.56823,55.14705,6.31991,7.59803,4.36241,4.41176,8.2774,13.97058
2022-02-09,m,5,22.30603,17.68421,44.8635,53.36842,5.02873,3.89473,4.4181,2.52631,9.91379,14.0
2022-02-09,f,6,22.24025,21.20141,62.01298,54.41696,5.24891,6.36042,3.0303,4.24028,7.25108,18.72791
2022-02-09,m,6,19.3828,14.56876,48.95977,51.1655,4.4036,3.9627,3.39805,4.1958,8.73786,14.21911
2022-02-09,f,7,23.29295,10.08771,56.77312,50.43859,4.73568,8.33333,3.35903,3.07017,7.48898,12.71929
2022-02-09,m,7,20.29897,13.22033,40.59795,40.50847,5.19276,8.47457,3.65853,2.54237,7.51376,13.55932
2022-02-09,f,8,21.79372,14.51612,48.07174,62.09677,5.73991,8.06451,2.42152,0.0,6.90582,8.87096
2022-02-09,m,8,20.76069,28.14569,41.91759,48.67549,6.97305,4.63576,3.24881,1.98675,9.42947,18.21192
2022-02-09,f,9,17.77188,16.25,44.82758,55.0,5.83554,8.75,3.18302,2.5,4.77453,11.25
2022-02-09,m,9,17.96042,32.1839,41.70471,47.12643,8.52359,6.89655,4.26179,2.87356,10.80669,28.73563
2022-02-09,f,10,26.55172,13.51351,51.03448,51.35135,5.51724,10.81081,4.13793,2.7027,8.96551,35.13513
2022-02-09,m,10,27.30375,29.87012,40.61433,50.64935,10.5802,7.7922,5.46075,2.5974,16.04095,23.37662
2022-02-09,f,11,21.00591,25.64102,29.28994,33.33333,7.6923,7.6923,4.14201,0.0,9.46745,23.07692
2022-02-09,m,11,27.79661,38.02816,35.9322,81.69014,4.74576,7.04225,2.37288,1.40845,16.27118,16.9014
2022-02-10,f,2,2.92397,1.13636,0.29239,0.0,2.92397,1.13636,0.0,0.0,0.43859,0.0
2022-02-10,m,2,7.21649,5.0,8.76288,0.0,5.6701,5.0,0.0,0.0,1.03092,0.0
2022-02-10,f,3,22.57368,15.85903,8.4831,16.29955,8.33932,9.69162,1.79726,0.44052,2.58806,5.28634
2022-02-10,m,3,34.34065,26.73267,11.17216,22.77227,11.72161,12.87128,3.11355,0.0,3.57142,22.77227
2022-02-10,f,4,44.91169,32.36514,58.78889,56.84647,11.8587,10.37344,8.07401,6.22406,8.99915,20.74688
2022-02-10,m,4,43.9828,42.65129,43.62464,65.41786,9.81375,11.23919,8.45272,4.03458,10.53008,22.76657
2022-02-10,f,5,27.46085,21.56862,61.68903,61.7647,5.48098,7.10784,4.64205,2.20588,10.57046,12.5
2022-02-10,m,5,21.08477,17.36842,45.2227,50.8421,4.99281,4.42105,5.38793,2.31578,9.77011,14.63157
2022-02-10,f,6,19.48051,21.55477,56.76406,57.24381,4.27489,6.00706,4.92424,2.82685,6.9264,12.72084
2022-02-10,m,6,19.07073,13.98601,44.41747,48.48484,4.05686,2.21445,4.29958,1.3986,7.97503,13.28671
2022-02-10,f,7,25.49559,14.03508,52.9185,52.63157,5.45154,6.14035,3.24889,2.19298,7.15859,13.15789
2022-02-10,m,7,19.74822,17.45762,40.952,44.74576,4.95672,3.8983,3.18646,3.22033,8.18253,14.74576
2022-02-10,f,8,21.16591,20.96774,49.14798,50.80645,6.00896,4.8387,3.58744,0.80645,6.54708,18.54838
2022-02-10,m,8,23.05863,18.87417,37.95562,49.66887,6.33914,3.31125,4.12044,1.98675,8.24088,19.53642
2022-02-10,f,9,17.50663,6.25,50.13262,37.5,7.1618,8.75,3.05039,1.25,7.02917,17.5
2022-02-10,m,9,22.22222,20.68965,39.57382,43.67816,7.30593,4.02298,5.17503,2.29885,12.93759,19.54022
2022-02-10,f,10,29.31034,37.83783,60.68965,45.94594,11.37931,13.51351,3.44827,0.0,7.5862,8.1081
2022-02-10,m,10,23.54948,25.97402,36.17747,96.10389,7.50853,5.1948,3.07167,2.5974,16.72354,20.77922
2022-02-10,f,11,18.63905,10.25641,26.92307,33.33333,7.98816,7.6923,1.47928,2.5641,4.43786,17.94871
2022-02-10,m,11,18.30508,28.16901,43.72881,52.11267,10.16949,0.0,0.67796,5.6338,12.54237,23.94366
2022-02-11,f,2,3.07017,0.0,0.58479,0.0,3.94736,0.0,0.14619,0.0,0.73099,1.13636
